Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
31,Spirited Away,2001,2h 4m,"Animation, Adventure, Family",8.6,883849,U,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
32,The Pianist,2002,2h 30m,"Biography, Drama, Music",8.5,943778,13,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
33,Parasite,2019,2h 12m,"Drama, Thriller",8.5,1014392,UA,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
34,Gladiator,2000,2h 35m,"Action, Adventure, Drama",8.5,1699353,UA,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
35,Psycho,1960,1h 49m,"Horror, Mystery, Thriller",8.5,739074,A,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
36,The Lion King,1994,1h 28m,"Animation, Adventure, Drama",8.5,1176927,U,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
37,The Departed,2006,2h 31m,"Crime, Drama, Thriller",8.5,1458298,A,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
38,Grave of the Fireflies,1988,1h 28m,"Animation, Drama, War",8.5,331814,U,A young boy and his little sister struggle to survive in Japan during World War II.
39,Whiplash,2014,1h 46m,"Drama, Music",8.5,1036362,A,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
40,Spider-man: Across the Spider-verse,2023,2h 20m,"Animation, Action, Adventure",8.6,421764,U,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
41,American History X,1998,1h 59m,"Crime, Drama",8.5,1212609,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
42,The Prestige,2006,2h 10m,"Drama, Mystery, Sci-Fi",8.5,1482020,U,Rival 19th-century magicians engage in a bitter battle for trade secrets.
43,Léon,1994,1h 50m,"Action, Crime, Drama",8.5,1279139,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
44,Seppuku,1962,2h 13m,"Drama, Mystery",8.6,74962,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
45,Casablanca,1942,1h 42m,"Drama, Romance, War",8.5,620588,U,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
46,The Usual Suspects,1995,1h 46m,"Crime, Drama, Mystery",8.5,1169832,A,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
47,Intouchables,2011,1h 52m,"Comedy, Drama",8.5,956274,UA,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
